Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,City,State,Region,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Revenue,Profit,Payment_Mode,Ship_Mode
ORD-12036,2023-01-08,CUST-1542,Nikhil Kapoor,Consumer,Noida,Uttar Pradesh,North,Electronics,Laptops,Lenovo IdeaPad Slim 3,4,139002.01,0.25,417006.03,42.51,UPI,Same Day
ORD-12363,2023-01-09,CUST-1202,Harsh Shah,Consumer,Bangalore,Karnataka,South,Furniture,Desks,Nilkamal Aries Workstation,2,5724.67,0.15,9731.94,1301.82,Debit Card,Economy
ORD-10775,2023-01-09,CUST-1309,Pooja Shah,Corporate,Mumbai,Maharashtra,West,Office Supplies,Paper & Notebooks,Classmate Notebook 200pg,10,542.29,0.08,4989.07,2355.29,UPI,Standard
ORD-11131,2023-01-09,CUST-1152,Neha Das,Corporate,Lucknow,Uttar Pradesh,North,Electronics,Laptops,Acer Aspire 5,1,63991.0,0.03,62071.27,6464.11,UPI,Economy
ORD-11369,2023-01-10,CUST-1066,Harsh Bhat,Consumer,Delhi,Delhi,North,Food & Beverages,Dry Fruits & Nuts,Farmley Premium Walnuts,2,352.96,0.25,529.44,47.11,Net Banking,Express
ORD-12236,2023-01-10,CUST-1146,Pooja Patil,Corporate,Surat,Gujarat,West,Food & Beverages,Dry Fruits & Nuts,True Elements Trail Mix,6,358.06,0.13,1869.07,260.53,UPI,Standard
ORD-10417,2023-01-10,CUST-1320,Sanjay Nair,Home Office,Mumbai,Maharashtra,West,Electronics,Headphones,Sony WH-1000XM5,3,10561.53,0.15,26931.9,4716.54,Credit Card,Express
ORD-10151,2023-01-10,CUST-1151,Kunal Gupta,Corporate,Bhubaneswar,Odisha,East,Office Supplies,Paper & Notebooks,JK Copier A4 Paper Ream,1,49.0,0.03,47.53,16.86,Debit Card,Standard
ORD-10059,2023-01-12,CUST-1289,Ishaan Agarwal,Corporate,Hyderabad,Telangana,South,Electronics,Laptops,Lenovo IdeaPad Slim 3,1,40763.67,0.08,37502.58,1696.89,UPI,Same Day
ORD-10385,2023-01-12,CUST-1476,Tushar Gupta,Corporate,Gurugram,Haryana,North,Food & Beverages,Snacks & Chips,Kurkure Masala Munch,4,50.82,0.08,187.02,53.75,Credit Card,Standard
ORD-12240,2023-01-12,CUST-1487,Chirag Kapoor,Consumer,Pune,Maharashtra,West,Clothing,T-Shirts,U.S. Polo Assn. Crew,1,1939.46,0.0,1939.46,713.65,Credit Card,Express
ORD-11899,2023-01-12,CUST-1439,Kriti Rao,Consumer,Hyderabad,Telangana,South,Electronics,Tablets,Apple iPad 10th Gen,1,29180.94,0.25,21885.7,110.21,Cash,Standard
ORD-10131,2023-01-13,CUST-1437,Aarav Reddy,Corporate,Hyderabad,Telangana,South,Furniture,Beds,Pepperfry Trundle Bed,1,13879.13,0.03,13462.76,1639.77,UPI,Express
ORD-10063,2023-01-13,CUST-1396,Isha Nair,Consumer,Kolkata,West Bengal,East,Clothing,Jeans,Levi's 511 Slim,2,3326.91,0.05,6321.13,2560.31,UPI,Express
ORD-10336,2023-01-13,CUST-1559,Sanjay Malhotra,Consumer,Bangalore,Karnataka,South,Electronics,Headphones,Sony WH-1000XM5,2,1629.0,0.0,3258.0,1012.39,Cash,Economy
ORD-10293,2023-01-13,CUST-1492,Manish Iyer,Consumer,Hyderabad,Telangana,South,Furniture,Desks,IKEA Bekant Standing Desk,1,20995.0,0.05,19945.25,2886.11,UPI,Standard
ORD-11400,2023-01-13,CUST-1224,Rishi Iyer,Home Office,Bangalore,Karnataka,South,Clothing,Formal Shirts,Van Heusen Slim Fit,2,1478.05,0.05,2808.29,792.15,Cash,Same Day
ORD-10988,2023-01-14,CUST-1271,Zara Malhotra,Consumer,Mumbai,Maharashtra,West,Electronics,Laptops,MacBook Air M2,1,86761.91,0.1,78085.72,4351.99,Net Banking,Same Day
ORD-11258,2023-01-14,CUST-1358,Kavya Patil,Consumer,Kochi,Kerala,South,Food & Beverages,Beverages,Sting Energy Drink,6,338.63,0.15,1727.01,307.82,UPI,Standard
ORD-11651,2023-01-14,CUST-1154,Meera Pandey,Consumer,Bangalore,Karnataka,South,Furniture,Bookshelves,Spacewood Engineered Wood,1,8641.56,0.05,8209.48,1626.51,Net Banking,Same Day
ORD-12201,2023-01-14,CUST-1589,Vivek Reddy,Corporate,Delhi,Delhi,North,Clothing,Jackets,HRX Active Jacket,1,3931.74,0.08,3617.2,1193.33,Credit Card,Standard
ORD-12161,2023-01-15,CUST-1063,Rohit Tiwari,Corporate,Ahmedabad,Gujarat,West,Electronics,Smartphones,Samsung Galaxy M34,3,32780.78,0.13,85557.84,11039.06,Cash,Economy
ORD-11173,2023-01-17,CUST-1597,Kunal Das,Consumer,Pune,Maharashtra,West,Clothing,Jeans,Flying Machine Tapered,3,2414.12,0.2,5793.89,1804.85,UPI,Standard
ORD-11138,2023-01-17,CUST-1279,Amit Yadav,Consumer,Kolkata,West Bengal,East,Office Supplies,Storage & Organizers,Milton Modular Box,3,2927.21,0.0,8781.63,3111.23,UPI,Express
ORD-10999,2023-01-17,CUST-1377,Neha Menon,Home Office,Jaipur,Rajasthan,North,Food & Beverages,Tea & Coffee,Brooke Bond Red Label,3,203.23,0.15,518.24,171.57,Net Banking,Standard
ORD-10923,2023-01-17,CUST-1393,Amit Saxena,Consumer,Mumbai,Maharashtra,West,Electronics,Headphones,JBL Tune 510BT,2,3686.56,0.0,7373.12,2053.83,Debit Card,Standard
ORD-10326,2023-01-18,CUST-1143,Vikram Shah,Corporate,Pune,Maharashtra,West,Office Supplies,Printers,Canon Pixma G3060,2,6405.78,0.23,9864.9,704.8,UPI,Express
ORD-11933,2023-01-18,CUST-1152,Neha Das,Corporate,Lucknow,Uttar Pradesh,North,Electronics,Laptops,Dell Inspiron 14,2,53070.7,0.13,92343.02,6636.59,UPI,Express
ORD-11424,2023-01-18,CUST-1088,Deepika Sinha,Consumer,Mumbai,Maharashtra,West,Food & Beverages,Beverages,Coca-Cola 2L,3,71.5,0.05,203.77,46.61,Debit Card,Standard
ORD-11417,2023-01-19,CUST-1228,Tushar Menon,Consumer,Gurugram,Haryana,North,Electronics,Smartphones,Vivo T2x,4,33864.67,0.3,94821.08,5845.98,Debit Card,Express
ORD-10668,2023-01-20,CUST-1502,Neha Patel,Consumer,Chennai,Tamil Nadu,South,Food & Beverages,Tea & Coffee,Nescafe Classic 200g,12,153.58,0.0,1842.96,443.29,Credit Card,Standard
ORD-10335,2023-01-20,CUST-1037,Bhavya Patil,Corporate,Delhi,Delhi,North,Office Supplies,Printers,Canon Pixma G3060,5,9543.11,0.03,46284.08,3394.67,Cash,Express
ORD-12353,2023-01-20,CUST-1502,Neha Patel,Consumer,Chennai,Tamil Nadu,South,Office Supplies,Ink & Toner,Brother BT-D60BK,2,670.52,0.1,1206.94,293.66,UPI,Standard
ORD-10878,2023-01-21,CUST-1456,Yash Verma,Corporate,Guwahati,Assam,East,Office Supplies,Paper & Notebooks,Classmate Notebook 200pg,3,98.72,0.28,213.24,82.85,Debit Card,Express
ORD-12452,2023-01-21,CUST-1064,Gaurav Pillai,Consumer,Nagpur,Maharashtra,West,Electronics,Headphones,Sony WH-1000XM5,1,5419.19,0.05,5148.23,1128.56,UPI,Same Day
ORD-11667,2023-01-21,CUST-1325,Mohit Patel,Consumer,Surat,Gujarat,West,Clothing,T-Shirts,U.S. Polo Assn. Crew,1,383.24,0.15,325.75,118.99,UPI,Standard
ORD-10300,2023-01-21,CUST-1101,Yash Verma,Consumer,Mumbai,Maharashtra,West,Food & Beverages,Dry Fruits & Nuts,Farmley Premium Walnuts,4,1075.08,0.0,4300.32,1019.32,Net Banking,Economy
ORD-11325,2023-01-22,CUST-1102,Sakshi Reddy,Home Office,Ahmedabad,Gujarat,West,Office Supplies,Ink & Toner,Canon PG-745 Black,2,2844.58,0.15,4835.79,854.85,Net Banking,Economy
ORD-11591,2023-01-22,CUST-1271,Zara Malhotra,Consumer,Mumbai,Maharashtra,West,Electronics,Chargers & Cables,Portronics Adaptor,1,611.42,0.0,611.42,251.53,UPI,Standard
ORD-11429,2023-01-22,CUST-1488,Rajesh Yadav,Home Office,Kolkata,West Bengal,East,Food & Beverages,Beverages,Paper Boat Aamras,10,71.09,0.0,710.9,230.64,Debit Card,Standard
ORD-11840,2023-01-22,CUST-1213,Vikram Yadav,Home Office,Mumbai,Maharashtra,West,Office Supplies,Pens & Stationery,Parker Classic Gold,3,84.18,0.0,252.54,132.66,Debit Card,Standard
ORD-10200,2023-01-22,CUST-1382,Ananya Pillai,Consumer,Kochi,Kerala,South,Furniture,Office Chairs,Green Soul Jupiter,1,10357.13,0.0,10357.13,1778.84,UPI,Same Day
ORD-10838,2023-01-22,CUST-1521,Mohit Sinha,Consumer,Surat,Gujarat,West,Electronics,Smartphones,OnePlus Nord CE3,1,21547.04,0.2,17237.63,1405.74,UPI,Express
ORD-12355,2023-01-23,CUST-1092,Rajesh Kumar,Consumer,Kolkata,West Bengal,East,Electronics,Smartwatches,boAt Storm Call,2,6604.26,0.0,13208.52,1644.04,Credit Card,Express
ORD-11335,2023-01-23,CUST-1485,Ananya Deshmukh,Consumer,Delhi,Delhi,North,Clothing,T-Shirts,Allen Solly Polo,1,908.11,0.05,862.7,370.93,Debit Card,Express
ORD-12230,2023-01-23,CUST-1528,Rajesh Mehta,Home Office,Mumbai,Maharashtra,West,Electronics,Smartwatches,boAt Storm Call,2,24546.48,0.05,46638.31,12168.12,UPI,Standard
ORD-11875,2023-01-23,CUST-1139,Dev Menon,Home Office,Delhi,Delhi,North,Clothing,Jeans,Levi's 511 Slim,5,2333.48,0.0,11667.4,3908.35,Credit Card,Standard
ORD-11077,2023-01-24,CUST-1074,Aditya Patil,Corporate,Kochi,Kerala,South,Furniture,Office Chairs,Green Soul Jupiter,1,6047.64,0.08,5563.83,574.12,Net Banking,Standard
ORD-12473,2023-01-24,CUST-1371,Rohit Banerjee,Corporate,Mumbai,Maharashtra,West,Food & Beverages,Dry Fruits & Nuts,Farmley Premium Walnuts,1,357.92,0.13,311.39,53.41,Credit Card,Standard
ORD-12206,2023-01-24,CUST-1182,Rajesh Shah,Corporate,Noida,Uttar Pradesh,North,Clothing,Formal Shirts,Arrow Regular Fit,1,1370.15,0.33,918.0,248.92,Credit Card,Economy
ORD-12079,2023-01-24,CUST-1103,Mohit Sinha,Corporate,Ahmedabad,Gujarat,West,Clothing,T-Shirts,H&M Basic Tee,2,915.72,0.08,1684.92,588.42,Debit Card,Express
ORD-11545,2023-01-25,CUST-1267,Priya Pillai,Consumer,Bhubaneswar,Odisha,East,Furniture,Bookshelves,IKEA Kallax Shelf,1,6194.07,0.1,5574.66,783.73,Cash,Express
ORD-11446,2023-01-25,CUST-1369,Zara Banerjee,Corporate,Guwahati,Assam,East,Food & Beverages,Health Supplements,Dabur Chyawanprash 1kg,4,912.39,0.03,3540.07,1069.81,Cash,Standard
ORD-11702,2023-01-26,CUST-1043,Manish Kulkarni,Consumer,Kolkata,West Bengal,East,Clothing,T-Shirts,Levi's Graphic Tee,5,1199.96,0.2,4799.84,2110.16,Debit Card,Standard
ORD-12277,2023-01-26,CUST-1248,Isha Gupta,Corporate,Pune,Maharashtra,West,Electronics,Headphones,Realme Buds Air 3,3,9809.3,0.18,24130.88,4583.82,Debit Card,Express
ORD-10586,2023-01-26,CUST-1475,Ishaan Singh,Consumer,Pune,Maharashtra,West,Food & Beverages,Beverages,Tropicana Mixed Fruit 1L,6,80.72,0.3,339.02,62.09,Credit Card,Economy
ORD-10777,2023-01-26,CUST-1297,Priya Iyer,Corporate,Bangalore,Karnataka,South,Clothing,Jackets,Campus Sutra Denim,1,6661.16,0.03,6461.33,2360.03,Debit Card,Same Day
ORD-10868,2023-01-26,CUST-1196,Isha Sharma,Consumer,Pune,Maharashtra,West,Clothing,Jackets,Fort Collins Puffer,4,4076.17,0.0,16304.68,5182.57,Cash,Express
ORD-10324,2023-01-26,CUST-1082,Nisha Chatterjee,Consumer,Ahmedabad,Gujarat,West,Furniture,Desks,Featherlite Amaze,1,33426.86,0.15,28412.83,1921.35,Cash,Express
ORD-12246,2023-01-27,CUST-1099,Sanjay Mishra,Consumer,Chennai,Tamil Nadu,South,Office Supplies,Printers,Canon Pixma G3060,2,7980.9,0.05,15163.71,1479.17,Credit Card,Express
ORD-11796,2023-01-27,CUST-1534,Aditya Gupta,Corporate,Delhi,Delhi,North,Furniture,Dining Tables,Godrej Interio Neo,1,18343.08,0.03,17792.79,2123.09,UPI,Economy
ORD-12343,2023-01-28,CUST-1498,Aditya Pandey,Corporate,Delhi,Delhi,North,Electronics,Tablets,Lenovo Tab M10,1,22771.42,0.23,17533.99,1391.29,Net Banking,Express
ORD-11415,2023-01-28,CUST-1426,Zara Nair,Consumer,Lucknow,Uttar Pradesh,North,Furniture,Bookshelves,DeckUp Meritus,1,12693.58,0.15,10789.54,2096.87,Credit Card,Standard
ORD-11408,2023-01-29,CUST-1116,Ishaan Patel,Home Office,Jaipur,Rajasthan,North,Food & Beverages,Health Supplements,Ensure Nutritional Drink,2,4999.0,0.1,8998.2,3050.28,Credit Card,Express
ORD-11167,2023-01-30,CUST-1137,Dev Iyer,Home Office,Kochi,Kerala,South,Electronics,Headphones,Noise Buds VS104,2,499.0,0.0,998.0,280.54,Credit Card,Express
ORD-11240,2023-01-31,CUST-1168,Bhavya Patil,Corporate,Ranchi,Jharkhand,East,Clothing,Formal Shirts,Van Heusen Slim Fit,5,1021.48,0.13,4443.44,1531.5,Debit Card,Standard
ORD-12075,2023-01-31,CUST-1526,Ananya Menon,Consumer,Visakhapatnam,Andhra Pradesh,South,Clothing,Formal Shirts,Arrow Regular Fit,1,1066.57,0.15,906.58,205.85,UPI,Standard
ORD-11343,2023-01-31,CUST-1437,Aarav Reddy,Corporate,Hyderabad,Telangana,South,Food & Beverages,Beverages,Tropicana Mixed Fruit 1L,1,87.87,0.13,76.45,14.6,UPI,Standard
ORD-12111,2023-01-31,CUST-1431,Ritika Malhotra,Consumer,Bangalore,Karnataka,South,Office Supplies,Ink & Toner,Canon PG-745 Black,8,1961.91,0.15,13340.99,3578.08,UPI,Standard
ORD-12225,2023-01-31,CUST-1021,Pankaj Saxena,Corporate,Mumbai,Maharashtra,West,Electronics,Chargers & Cables,Amazon Basics USB-C Cable,1,1130.14,0.13,983.22,302.88,Credit Card,Standard
ORD-11947,2023-01-31,CUST-1410,Amit Kulkarni,Consumer,Patna,Bihar,East,Food & Beverages,Dry Fruits & Nuts,Farmley Premium Walnuts,1,567.59,0.0,567.59,76.77,UPI,Standard
ORD-11700,2023-01-31,CUST-1060,Aditi Sharma,Consumer,Nagpur,Maharashtra,West,Food & Beverages,Tea & Coffee,Brooke Bond Red Label,5,185.65,0.05,881.84,240.83,UPI,Standard
ORD-11160,2023-02-01,CUST-1103,Mohit Sinha,Corporate,Ahmedabad,Gujarat,West,Clothing,T-Shirts,H&M Basic Tee,3,2830.02,0.03,8235.36,3787.65,Credit Card,Standard
ORD-10914,2023-02-02,CUST-1264,Tushar Kulkarni,Consumer,Delhi,Delhi,North,Food & Beverages,Tea & Coffee,Bru Instant Coffee,4,198.65,0.3,556.22,118.84,Net Banking,Standard
ORD-11839,2023-02-02,CUST-1204,Mohit Tiwari,Consumer,Mumbai,Maharashtra,West,Clothing,Jeans,Levi's 511 Slim,1,2233.27,0.0,2233.27,846.47,UPI,Express
ORD-11394,2023-02-02,CUST-1451,Mohit Kapoor,Consumer,Kolkata,West Bengal,East,Clothing,Formal Shirts,Raymond Linen Shirt,4,976.99,0.1,3517.16,698.79,Credit Card,Economy
ORD-10917,2023-02-03,CUST-1194,Yash Bhat,Corporate,Kolkata,West Bengal,East,Food & Beverages,Health Supplements,HealthKart Multivitamin,2,299.0,0.23,460.46,132.4,UPI,Same Day
ORD-10373,2023-02-03,CUST-1112,Uma Gupta,Corporate,Patna,Bihar,East,Electronics,Chargers & Cables,Anker PowerPort,3,1138.99,0.03,3314.46,1480.11,Net Banking,Express
ORD-10597,2023-02-03,CUST-1119,Rishi Pillai,Corporate,Hyderabad,Telangana,South,Office Supplies,Ink & Toner,HP 802 Black Cartridge,10,1887.88,0.23,14536.68,3805.65,UPI,Economy
ORD-10207,2023-02-04,CUST-1537,Ayesha Reddy,Consumer,Kolkata,West Bengal,East,Food & Beverages,Tea & Coffee,Bru Instant Coffee,3,297.55,0.1,803.39,255.43,Debit Card,Standard
ORD-11497,2023-02-04,CUST-1576,Vikram Reddy,Corporate,Ahmedabad,Gujarat,West,Food & Beverages,Snacks & Chips,Kurkure Masala Munch,1,499.0,0.18,409.18,91.32,Credit Card,Express
ORD-12022,2023-02-04,CUST-1009,Amit Singh,Corporate,Delhi,Delhi,North,Office Supplies,Paper & Notebooks,JK Copier A4 Paper Ream,3,110.36,0.28,238.38,67.91,UPI,Express
ORD-11848,2023-02-05,CUST-1017,Kriti Kapoor,Home Office,Mumbai,Maharashtra,West,Clothing,Formal Shirts,Peter England Classic,3,3348.0,0.1,9039.6,3923.12,Net Banking,Economy
ORD-10136,2023-02-05,CUST-1085,Simran Tiwari,Consumer,Bangalore,Karnataka,South,Food & Beverages,Beverages,Tropicana Mixed Fruit 1L,4,199.81,0.0,799.24,255.46,Cash,Standard
ORD-11819,2023-02-05,CUST-1039,Sneha Bhat,Consumer,Mumbai,Maharashtra,West,Food & Beverages,Snacks & Chips,Kurkure Masala Munch,5,79.99,0.0,399.95,80.61,UPI,Economy
ORD-11376,2023-02-05,CUST-1414,Meera Gupta,Corporate,Noida,Uttar Pradesh,North,Food & Beverages,Beverages,Coca-Cola 2L,5,118.1,0.28,425.16,52.48,Credit Card,Standard
ORD-11511,2023-02-06,CUST-1189,Zara Patel,Consumer,Guwahati,Assam,East,Food & Beverages,Beverages,Coca-Cola 2L,8,78.64,0.1,566.21,220.62,Debit Card,Standard
ORD-11703,2023-02-06,CUST-1315,Tushar Kulkarni,Home Office,Delhi,Delhi,North,Electronics,Laptops,MacBook Air M2,1,115906.85,0.1,104316.16,9627.37,Credit Card,Standard
ORD-10440,2023-02-07,CUST-1460,Aarav Shah,Home Office,Surat,Gujarat,West,Electronics,Smartphones,Vivo T2x,2,28795.23,0.0,57590.46,10069.26,Cash,Express
ORD-10944,2023-02-07,CUST-1468,Chirag Bhat,Consumer,Ahmedabad,Gujarat,West,Furniture,Beds,IKEA Malm King Bed,1,15894.37,0.15,13510.21,1301.39,Debit Card,Express
ORD-10983,2023-02-07,CUST-1308,Arjun Yadav,Consumer,Mumbai,Maharashtra,West,Electronics,Headphones,JBL Tune 510BT,1,7675.61,0.0,7675.61,1785.27,UPI,Express
ORD-12215,2023-02-08,CUST-1349,Rajesh Patel,Corporate,Lucknow,Uttar Pradesh,North,Electronics,Tablets,Apple iPad 10th Gen,2,42185.45,0.03,81839.77,12245.67,Debit Card,Same Day
ORD-10768,2023-02-08,CUST-1121,Chirag Gupta,Corporate,Hyderabad,Telangana,South,Office Supplies,Pens & Stationery,Faber-Castell Kit,2,80.18,0.18,131.5,41.65,UPI,Express
ORD-10678,2023-02-08,CUST-1046,Kunal Pillai,Home Office,Bangalore,Karnataka,South,Food & Beverages,Snacks & Chips,Lay's Classic Salted,1,499.0,0.05,474.05,134.5,Net Banking,Express
ORD-10802,2023-02-09,CUST-1417,Kavya Bhat,Home Office,Delhi,Delhi,North,Electronics,Smartphones,iPhone 15,3,19068.71,0.05,54345.82,7083.92,UPI,Express
ORD-10696,2023-02-09,CUST-1174,Sanjay Deshmukh,Corporate,Noida,Uttar Pradesh,North,Furniture,Dining Tables,Godrej Interio Neo,1,18253.04,0.13,15880.14,1698.14,UPI,Express
ORD-11870,2023-02-09,CUST-1262,Gaurav Kumar,Consumer,Hyderabad,Telangana,South,Office Supplies,Paper & Notebooks,Luxor Exercise Book,5,178.73,0.0,893.65,456.08,Cash,Standard
ORD-10357,2023-02-10,CUST-1233,Kriti Deshmukh,Home Office,Bangalore,Karnataka,South,Electronics,Chargers & Cables,Portronics Adaptor,2,377.07,0.2,603.31,166.6,UPI,Standard
ORD-10080,2023-02-10,CUST-1192,Ishaan Deshmukh,Home Office,Delhi,Delhi,North,Electronics,Laptops,Acer Aspire 5,3,53229.82,0.1,143720.51,9841.29,UPI,Same Day
ORD-10877,2023-02-11,CUST-1141,Uma Sharma,Home Office,Bangalore,Karnataka,South,Office Supplies,Pens & Stationery,Parker Classic Gold,2,433.3,0.0,866.6,495.22,Debit Card,Economy
ORD-10793,2023-02-11,CUST-1491,Priya Tiwari,Corporate,Noida,Uttar Pradesh,North,Electronics,Smartwatches,Fire-Boltt Phoenix,2,1999.0,0.18,3278.36,408.52,UPI,Economy
ORD-11841,2023-02-11,CUST-1336,Mohit Agarwal,Corporate,Bangalore,Karnataka,South,Furniture,Bookshelves,IKEA Kallax Shelf,1,5606.84,0.13,4877.95,686.53,Cash,Same Day
ORD-10276,2023-02-11,CUST-1230,Nisha Sinha,Corporate,Chandigarh,Punjab,North,Food & Beverages,Beverages,Tropicana Mixed Fruit 1L,2,64.75,0.03,125.62,24.68,Cash,Standard
ORD-12292,2023-02-11,CUST-1020,Sanjay Bhat,Consumer,Pune,Maharashtra,West,Furniture,Beds,Nilkamal Imperial Queen,1,12427.5,0.15,10563.38,655.9,Credit Card,Express
ORD-11793,2023-02-11,CUST-1485,Ananya Deshmukh,Consumer,Delhi,Delhi,North,Electronics,Chargers & Cables,Amazon Basics USB-C Cable,1,286.62,0.0,286.62,148.02,UPI,Express
ORD-10188,2023-02-12,CUST-1199,Uma Deshmukh,Consumer,Bangalore,Karnataka,South,Food & Beverages,Dry Fruits & Nuts,Nutraj Cashews 250g,5,377.21,0.1,1697.44,407.11,Net Banking,Express
ORD-11499,2023-02-12,CUST-1168,Bhavya Patil,Corporate,Ranchi,Jharkhand,East,Food & Beverages,Health Supplements,Revital H Capsules,4,814.68,0.03,3160.96,980.09,UPI,Standard
ORD-10546,2023-02-12,CUST-1259,Nisha Das,Consumer,Mumbai,Maharashtra,West,Food & Beverages,Dry Fruits & Nuts,Happilo Almonds 500g,2,734.49,0.0,1468.98,250.5,Net Banking,Standard
ORD-12012,2023-02-13,CUST-1110,Isha Verma,Consumer,Mumbai,Maharashtra,West,Furniture,Office Chairs,Nilkamal Leatherite,1,5310.04,0.0,5310.04,745.61,UPI,Standard
ORD-12372,2023-02-13,CUST-1498,Aditya Pandey,Corporate,Delhi,Delhi,North,Clothing,Formal Shirts,Arrow Regular Fit,2,922.63,0.03,1789.9,757.14,Credit Card,Standard
ORD-10531,2023-02-14,CUST-1091,Rahul Deshmukh,Home Office,Bangalore,Karnataka,South,Office Supplies,Storage & Organizers,Nilkamal Chester 24,4,3114.83,0.0,12459.32,4001.97,UPI,Economy
